Id,Nom,Bibliothèque de formes,ID de page,Contenu par,Groupe,Source de la ligne,Destination de la ligne,Source de la flèche,Destination de la flèche,Zone de texte 1
1,Page,,,,,,,,,Page 1
2,MinimalTextBlock,Standard,1,,,,,,,Put MP4 objects with Xiaomi path
3,IoT thing camera,AWS Architecture 2019,1,,,,,,,Xiaomi Mi Home Security Camera 360
4,AWS Cloud,AWS Architecture 2019,1,,,,,,,AWS Cloud
5,Region,AWS Architecture 2019,1,4,,,,,,eu-west-1
6,Serveur,Infrastructure réseau,1,,,,,,,NAS
7,Amazon SQS,AWS Architecture 2017,1,4|5,,,,,,
8,AWS Lambda,AWS Architecture 2017,1,4|5,,,,,,Lambda
9,Compartiment S3,AWS Architecture 2017,1,4|5,,,,,,
10,Texte,Standard,1,4|5,,,,,,SQS
11,Texte,Standard,1,4|5,,,,,,S3 backup Bucket
12,MinimalTextBlock,Standard,1,4|5,,,,,,Create a message with S3:CreateObject event
13,MinimalTextBlock,Standard,1,4|5,,,,,,Move MP4 objects to a custom path
14,Ligne,,1,,,9,7,None,Arrow,
15,Ligne,,1,,,3,6,None,Arrow,
16,Ligne,,1,,,8,9,None,Arrow,
17,Ligne,,1,,,8,7,None,Arrow,
18,Ligne,,1,,,6,9,None,Arrow,